iter	Logloss
0	0.6869959587
1	0.6801161271
2	0.6726192308
3	0.6649441139
4	0.65879065
5	0.6508193945
6	0.6432153058
7	0.6364957684
8	0.6304606011
9	0.6248884211
10	0.6186564321
11	0.6124206676
12	0.6063179734
13	0.6003197169
14	0.5950133263
15	0.5892335184
16	0.5823814374
17	0.5772618565
18	0.5721277993
19	0.565527981
20	0.5614381421
21	0.5565952339
22	0.5517551367
23	0.5467829227
24	0.5422691634
25	0.5376033885
26	0.5342260699
27	0.5301226667
28	0.5255386499
29	0.5204083635
30	0.5157390216
31	0.5109700233
32	0.5064081149
33	0.5020496853
34	0.4988739932
35	0.4943219783
36	0.4892174306
37	0.4858966329
38	0.4825443277
39	0.4787433689
40	0.4755922061
41	0.4719095164
42	0.4682086302
43	0.4643604267
44	0.4610306062
45	0.4579205143
46	0.4548326454
47	0.4511111691
48	0.4475748919
49	0.4435772425
50	0.4403007042
51	0.4366437369
52	0.4329150127
53	0.4301084489
54	0.4271807038
55	0.4237607192
56	0.4210175406
57	0.4186097677
58	0.4158874026
59	0.4128146927
60	0.4105505708
61	0.407644681
62	0.4051627231
63	0.4034198675
64	0.4014749013
65	0.4001425673
66	0.3977044968
67	0.396037468
68	0.3933108022
69	0.3908155085
70	0.3885026132
71	0.3863692648
72	0.3839072663
73	0.3818669685
74	0.3796363434
75	0.3772040094
76	0.374512916
77	0.3724121125
78	0.3707822943
79	0.3688712321
80	0.3664585155
81	0.3642013596
82	0.3625156768
83	0.3609723721
84	0.3588154412
85	0.357161364
86	0.3551604444
87	0.3535166191
88	0.3518306625
89	0.3505319404
90	0.3484152152
91	0.3467182254
92	0.3451534083
93	0.3436232552
94	0.3422323254
95	0.3400424357
96	0.3387546313
97	0.3370745879
98	0.3357014672
99	0.3350562939
100	0.3330153894
101	0.3315161063
102	0.3305438689
103	0.3290015768
104	0.3275802792
105	0.3265405787
106	0.3251731923
107	0.3236832906
108	0.3224176851
109	0.3212070858
110	0.3202517567
111	0.3188577435
112	0.3177372888
113	0.3163047834
114	0.3151710839
115	0.3137040179
116	0.3128113659
117	0.3123238519
118	0.3110516222
119	0.3096498055
120	0.3083409404
121	0.3071487516
122	0.3058710448
123	0.3049416202
124	0.3041421346
125	0.3026409013
126	0.3017061379
127	0.3008225732
128	0.2997484233
129	0.2987029158
130	0.2972141089
131	0.2963654713
132	0.2954285707
133	0.2945904834
134	0.2939585377
135	0.292516387
136	0.2915982953
137	0.2907478432
138	0.2897629165
139	0.2888790482
140	0.2882021537
141	0.287259609
142	0.2863910607
143	0.2858816473
144	0.2848549613
145	0.2840974539
146	0.2832257757
147	0.282582869
148	0.2816628957
149	0.2810222423
150	0.2800783066
151	0.2794828479
152	0.2787237432
153	0.2783649504
154	0.2774514983
155	0.2765132728
156	0.2756032796
157	0.2750627176
158	0.2742837124
159	0.2732884736
160	0.2727905651
161	0.2719984121
162	0.2710881941
163	0.2701308239
164	0.2691796684
165	0.2687547352
166	0.268367495
167	0.2675665766
168	0.2669551075
169	0.2663212141
170	0.2658075769
171	0.2649874181
172	0.2643101397
173	0.2637545649
174	0.2631307974
175	0.2623432993
176	0.261471434
177	0.2609276604
178	0.2599882555
179	0.2594641699
180	0.2588845663
181	0.2577455655
182	0.2569992768
183	0.2563148956
184	0.2552775914
185	0.2545900667
186	0.2540334421
187	0.2532520492
188	0.2524708936
189	0.2519958236
190	0.2514893874
191	0.2511391147
192	0.2504392495
193	0.2501628968
194	0.2494702236
195	0.2484235403
196	0.2481903125
197	0.2473752715
198	0.2469986167
199	0.2466479066
200	0.2460879073
201	0.2455813852
202	0.2452798436
203	0.2449399689
204	0.2443176032
205	0.2437799489
206	0.2432896857
207	0.2427580688
208	0.2423398007
209	0.2417367627
210	0.2411364519
211	0.2406872265
212	0.2401661544
213	0.2398327344
214	0.2393770357
215	0.2388300719
216	0.2385699569
217	0.2382095071
218	0.2376782118
219	0.2371698793
220	0.2367566516
221	0.2366385097
222	0.2361749494
223	0.2357172442
224	0.2351268416
225	0.2345047344
226	0.2340794059
227	0.2338484083
228	0.233473637
229	0.2331388491
230	0.2327711924
231	0.2322551648
232	0.2318548796
233	0.2314599606
234	0.2311432364
235	0.2307944468
236	0.230491667
237	0.2295915272
238	0.229247515
239	0.2289240345
240	0.2283847358
241	0.2278267844
242	0.2274096392
243	0.227061475
244	0.2268271835
245	0.2264215517
246	0.2258322437
247	0.2254303071
248	0.2252065383
249	0.2248332622
250	0.22449367
251	0.2240522393
252	0.2237112045
253	0.2231269351
254	0.2228101262
255	0.2226589905
256	0.2223256092
257	0.2219464587
258	0.2215002598
259	0.2211193868
260	0.2207397556
261	0.2204790684
262	0.2202190065
263	0.2198150354
264	0.2193974736
265	0.2191645719
266	0.2190553915
267	0.2185887188
268	0.2181009862
269	0.2176814804
270	0.2173151184
271	0.2168856984
272	0.2165951194
273	0.2163090408
274	0.2159985782
275	0.2157079911
276	0.215508184
